id,status,source_host,site_adapter,job_title,company,location,extraction_strategy,extraction_confidence,jd_character_count,raw_character_count,jd_to_raw_ratio,duplicate_line_ratio,highest_severity,issue_count,issue_codes,source_url,jd_start_excerpt
108,pending,jobs.careers.gov.sg,careers_gov,"Lead Engineer/Engineer, AI & Data Engineering, xData",Home Team Science and Technology Agency (HTX),,careers_gov_sections_v2,high,3928,6011,0.6535,0.0,ok,0,,https://jobs.careers.gov.sg/jobs/hrp/18037478/005056a3-d347-1fe1-aafe-3ce797f482bc?utm_source=chatgpt.com,"What the role is
HTX is Singapore's Science and Technology agency that brings together diverse scientific and engineering capabilities to develop transformative, operationally ready solutions for public safety. As a statutory board under the Ministry of Home Affairs, HTX works at the forefront of science and technology to empower the Home Team with cutting-edge capabilities. Guided by our mission to amplify, augment and accelerate the Home Team's advantage, we are committed to keeping Singapore the safest place on planet Earth.
From data to decisions, from insight to action — we harness data, AI and technology for public safety. By applying data science, AI, and engineering, we build enterprise data and exchange platforms, innovative products, and sensor-driven systems that transform compl"
111,pending,job-boards.greenhouse.io,greenhouse,C++ Software Engineer,XTX Markets,,greenhouse_job_description_dom_v2,high,2913,5615,0.5188,0.0,ok,0,,https://job-boards.greenhouse.io/xtxmarketstechnologies/jobs/7831489003?gh_src=my.greenhouse.search&utm_source=chatgpt.com,"The Role

We are hiring a software engineer to join our exchange trading development team (ETD) which builds and maintains most of XTX’s proprietary trading technology. We take trading ideas from our Quant Research team and turn them into reality using the most appropriate technology. On the software side we are responsible for everything from interpreting arriving market data to dispatching our orders. We also design our infrastructure and select which hardware to run on. This unusually wide scope gives us the ability to make cross-domain optimisations unavailable to our competitors, where the same work is often spread across multiple teams.

Exchanges run on their own schedules; we need our system to be ready every time trading starts. This results in a dynamic work environment where iss"
110,pending,jobs.careers.gov.sg,careers_gov,"Engineer / Lead Engineer - Embodied AI Research & Development, RAUS COE",Home Team Science and Technology Agency (HTX),,careers_gov_sections_v2,high,3539,5642,0.6273,0.0,ok,0,,https://jobs.careers.gov.sg/jobs/hrp/17968619/005056a3-53e2-1fd1-a7a0-7b2b513ed403?utm_source=chatgpt.com,"What the role is
HTX is Singapore's Science and Technology agency that brings together diverse scientific and engineering capabilities to develop transformative, operationally ready solutions for public safety. As a statutory board under the Ministry of Home Affairs, HTX works at the forefront of science and technology to empower the Home Team with cutting-edge capabilities. Guided by our mission to amplify, augment and accelerate the Home Team's advantage, we are committed to keeping Singapore the safest place on planet Earth.
Being part of 3i, they are the technology development domain of RAUS CoE focuses on advancing robotics and unmanned systems through innovative research, design, and development. Within this domain, the embodied AI R&D pillar integrates cutting-edge AI models into ro"
109,pending,careers.thalesgroup.com,phenom,OpenSky DevSecOps Engineer,Thales,"Singapore, Singapore",phenom_job_posting_jsonld_v2,high,3535,8006,0.4415,0.0,ok,0,,https://careers.thalesgroup.com/global/en/job/R0308244/OpenSky-DevSecOps-Engineer?utm_source=chatgpt.com,"Whom We Are Looking For
We are seeking a highly skilled and motivated DevOps engineer specializing in Kubernetes to join our team, to design, implement and manage our container orchestration (aka OpenSky) platforms for the next generation of Air Traffic Management Systems. The ideal candidate has deep expertise in Kubernetes internals, automation and observability, and is passionate about enabling development teams to deliver applications reliably and securely at scale.
The candidate would be working in an agile squad, in software delivery, led by the OpenSky Architect.
Responsibilities :
• Cluster Management and Operations • Deploy, upgrade and manage Kubernetes clusters across an Azure based cloud and on-prem environments.
• Ensure high-availability and disaster recovery of Kubernetes wo"
107,pending,razer.wd3.myworkdayjobs.com,workday,Applied AI Intern,Razer (Asia-Pacific) Pte. Ltd,"Singapore Razer AI Center, Singapore",workday_job_posting_jsonld_v2,high,2026,5946,0.3407,0.0,ok,0,,https://razer.wd3.myworkdayjobs.com/en-US/Careers/job/Singapore/Applied-AI-Intern_JR2026007785?utm_source=chatgpt.com,"Job Responsibilities
Applied AI Intern to support QAC Vision and Agentic AI features, focusing on evaluating multimodal models and agentic workflows for gaming use cases. Intern will work with AI, Software Engineering, and Product teams to experiment with emerging approaches, understand failure modes, and validate solutions for product adoption.

Job Scope
Support the evaluation and benchmarking of vision, multimodal, and agentic AI approaches for QAC use cases using curated datasets Build, maintain, and optimise evaluation workflows to measure model quality, reasoning accuracy, reliability, and agent performance Implement experimentation workflows to evaluate emerging AI models and frameworks, conduct error analysis, and investigate edge cases across perception, reasoning, and agent execu"
106,pending,jobs.careers.gov.sg,careers_gov,"Lead Engineer/ Engineer, DevOps & MLOps (AI Platform), xCloud",Home Team Science and Technology Agency (HTX),,careers_gov_sections_v2,high,2972,5065,0.5868,0.0,ok,0,,https://jobs.careers.gov.sg/jobs/hrp/18013157/005056a3-d347-1fe1-a9d5-5276a49342bb?utm_source=chatgpt.com,"What the role is
HTX is Singapore's Science and Technology agency that brings together diverse scientific and engineering capabilities to develop transformative, operationally ready solutions for public safety. As a statutory board under the Ministry of Home Affairs, HTX works at the forefront of science and technology to empower the Home Team with cutting-edge capabilities. Guided by our mission to amplify, augment and accelerate the Home Team's advantage, we are committed to keeping Singapore the safest place on planet Earth.
xCloud is dedicated to elevating the enterprise experience through cutting-edge cloud capabilities, including:
• Sustainable enterprise data centres
• Hybrid cloud platforms
• Advanced cloud security measures
• Integrated Development, Security, and Operations (DevSe"
105,pending,careers.thalesgroup.com,phenom,Software DevOps Engineer (IFE DCC),Thales,"Singapore, Singapore",phenom_job_posting_jsonld_v2,high,3168,7620,0.4157,0.0,ok,0,,https://careers.thalesgroup.com/global/en/job/R0321445/Software-DevOps-Engineer-IFE-DCC?utm_source=chatgpt.com,"In-Flyt Experience ( IFE)
In its business shift, Thales In-Flyt Experience Business Line is massively digitalizing its offers with comprehensive digital in-flight entertainment solutions. Over the past years, while evolving our solution, we have engaged with premier airlines across the globe to ensure we are thoroughly addressing their pain points. In parallel, Thales IFE has engaged with recognized leaders in the consumer world to enrich IFE solutions on proven hardware technologies and software development methodologies from some of the largest digital players. Thales IFE implements a technological shift, by bridging the gap with the consumer world into end-to-end platforms, spanning both on the ground and onboard the aircraft, with the onboard systems are now considered as a simple exte"
104,pending,careers.gi-de.com,successfactors,Supply Chain Analyst,Giesecke+Devrient,"Singapore, SG",successfactors_job_description_dom_v4,high,2074,4649,0.4461,0.0,ok,0,,https://careers.gi-de.com/GieseckeDevrientMS/job/Singapore-Supply-Chain-Analyst/1408155433/?utm_source=chatgpt.com,"Job Summary:

The Supply Chain Analyst is responsible to provide support for the end-to-end hardware (HW) supply chain operations within the company. As part of the Supply Chain Management team, this role contributes to fulfilling the complete ordering process with external suppliers, ensuring efficient material flow, compliance with export control regulations, and timely delivery of products. The analyst works cross-functionally with procurement, logistics, and manufacturing teams to enhance operational performance and supply reliability.

Responsibilities:
Manage the end-to-end ordering process, ensuring all artwork/design forms are complete and aligned with global templates.
Create Purchase Orders and process invoicing within required timelines.
Coordinate with freight forwarders to arr"
103,pending,jobs.sap.com,successfactors,SAP Intern - Full Stack Developer - SAP Build Mobile and Agentic Qualities,SAP,"Singapore, SG, 117440",successfactors_job_description_dom_v4,high,2270,6299,0.3604,0.0,ok,0,,https://jobs.sap.com/job/Singapore-SAP-Intern-Full-Stack-Developer-SAP-Build-Mobile-and-Agentic-Qualities-117440/1434449133/?utm_source=chatgpt.com,"Location: Singapore

Duration: 5-6 months

Start Date: January 2027

SAP's Autonomous Enterprise is an AI-native operating model where governed AI agents orchestrate end-to-end business processes, with humans setting direction and AI executing the work. It provides the Business AI Platform to Build, Run, and Engage business agents. Over 200 specialized agents across finance, supply chain, HR, and more have been deployed. SAP’s Joule Studio, the AI-first development environment, empowers teams to build custom agents using no-code, low-code, or pro-code approaches, simply by describing a business outcome in plain language. SAP also offers comprehensive set of services on clouds, and Agentic developer experience for customers to build enterprise mobile solutions.

Through the internship, you "
99,pending,jobs.smartrecruiters.com,smartrecruiters,Software Engineer [Java Core],NCS,,smartrecruiters_sections_v4,high,2717,4637,0.5859,0.0,ok,0,,https://jobs.smartrecruiters.com/NCS3/6000000001045727-software-engineer-java-core-?utm_source=chatgpt.com,"We are seeking a detail-oriented and analytical Software Engineer with expertise in Java Core to join our engineering team in Singapore. In this role, you will design, develop, and maintain robust Java applications while adhering to best practices in software architecture and code quality. You will work collaboratively with cross-functional teams to deliver efficient, scalable solutions that meet our business objectives.

What will you do?

Develop, test, and maintain high-quality Java applications using core Java technologies and frameworks
Design and implement efficient algorithms and data structures to solve complex technical problems
Write clean, well-documented code following established coding standards and design patterns
Conduct code reviews and provide constructive feedback to tea"
